,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
2343,3.2,6,1,2,6,15,197,3.1333333333333333,13.133333333333333,21,12,9,3,15,1,0,11.571428571428571,15.142857142857142,10.194967532467532,13.869744342958631,Exam2017_OBy_27_2.txt,2,2
2346,4.818181818181818,10,3,7,7,11,266,7.272727272727272,24.181818181818183,20,15,5,9,19,2,3,21.2,26.9,19.50392857142857,25.054007936507936,Exam2015_APL_1_2.txt,3,2
2350,4.3125,10,1,5,4,16,340,6.375,21.25,28,21,7,3,19,4,5,17.0,23.066666666666663,23.09399914899915,29.602061457061453,Exam2014_AAl_3_2.txt,5,2
2352,4.153846153846153,6,2,3,13,13,341,6.0,26.23076923076923,35,15,20,6,11,1,2,21.416666666666668,27.66666666666667,22.84908008658009,30.371777296777296,Exam2016_ZEv_2_2.txt,3,2
2354,4.916666666666667,11,0,4,9,12,287,3.6666666666666665,23.91666666666667,30,15,15,7,15,1,2,20.545454545454547,26.363636363636363,20.559235209235208,26.544782237964053,Exam2014_KKo_23_2.txt,3,2
2359,3.1538461538461537,5,2,1,2,13,174,4.076923076923077,13.384615384615383,21,17,4,3,5,0,1,10.833333333333336,13.666666666666664,11.567457311207312,14.370310245310243,Exam2016_OR_42_2.txt,4,2
2360,5.0,8,1,2,5,12,274,4.25,22.83333333333333,22,16,6,10,20,0,1,17.363636363636363,24.63636363636364,18.800468975468977,25.67166469893743,Exam2017_OBy_12_2.txt,1,2
2361,4.470588235294118,8,2,2,3,17,292,5.0588235294117645,17.176470588235293,30,21,9,6,19,0,2,15.0,18.8125,15.994611378205128,20.19371748043623,Exam2017_NChe_2_2.txt,1,2
2366,3.523809523809524,9,0,0,6,21,315,5.047619047619048,15.0,38,28,10,7,23,0,3,12.4,15.85,13.513215918713213,17.313279062269,Exam2017_DPe_86_2.txt,1,2
2368,3.1052631578947367,6,0,2,7,19,360,4.2105263157894735,18.94736842105263,38,28,10,12,16,0,4,15.72222222222222,19.777777777777786,15.764343903191946,20.27178289212603,Exam2017_DPe_60_2.txt,3,2
2370,6.066666666666666,9,3,12,6,15,363,3.8,24.2,35,20,15,8,29,2,6,19.571428571428573,25.142857142857142,21.96441594120165,27.929480836623693,Exam2016_EKu_82_2.txt,2,2
2375,5.083333333333333,10,0,2,9,12,308,5.333333333333333,25.66666666666667,37,21,16,8,18,2,3,23.272727272727277,29.272727272727277,23.784618916437093,29.95026236389873,Exam2017_OBy_155_2.txt,3,2
2376,4.105263157894736,7,1,5,8,19,337,4.842105263157895,17.736842105263158,34,22,12,3,10,3,2,16.444444444444443,21.11111111111111,16.023504736004735,20.54066266884894,Exam2016_MTsy_23_2.txt,1,2
2379,4.307692307692308,7,0,2,5,13,277,5.153846153846153,21.30769230769231,26,20,6,5,16,1,0,18.666666666666668,24.5,17.835479797979797,23.548009860509858,Exam2017_OBy_83_2.txt,5,2
2380,5.666666666666668,8,3,3,9,9,252,10.666666666666666,28.0,24,12,12,8,11,0,6,21.875,28.625,21.29419642857143,27.462946428571428,Exam2016_MTsy_16_2.txt,3,2
2386,4.230769230769232,6,2,5,3,13,219,4.076923076923077,16.846153846153847,23,16,7,2,13,4,5,13.583333333333336,17.5,13.949452861952862,18.485840548340548,Exam2016_EKu_161_2.txt,1,2
2388,3.72,6,2,3,8,25,415,6.12,16.6,39,27,12,9,23,0,3,14.041666666666664,19.041666666666668,13.604552233455015,18.060971986393053,Exam2019_ABu_196_2.txt,1,2
2389,3.2,7,0,1,2,20,307,5.55,15.35,34,28,6,5,13,0,2,11.842105263157894,15.526315789473689,13.5985037539543,17.20683947816708,Exam2017_OBy_127_2.txt,4,2
2396,5.545454545454546,9,2,7,6,11,317,5.545454545454546,28.818181818181817,21,14,7,5,22,6,1,23.4,30.8,20.59793650793651,28.364206349206352,Exam2014_ESha_50_2.txt,2,2
2397,4.166666666666667,9,0,5,14,24,460,3.4166666666666665,19.166666666666668,38,20,18,6,26,4,3,16.26086956521739,21.347826086956523,20.09651932018429,25.84407659858705,Exam2017_OBy_189_2.txt,4,2
2398,4.055555555555555,8,0,2,5,18,362,5.111111111111111,20.11111111111111,36,27,9,9,21,1,1,15.529411764705882,21.0,16.662349261657223,22.075596419151783,Exam2019_ABu_33_2.txt,2,2
2405,4.166666666666667,7,0,1,6,18,337,5.111111111111111,18.722222222222214,30,23,7,11,33,1,0,15.470588235294118,20.352941176470583,16.66810439176356,21.402904160430108,Exam2014_AAl_1_2.txt,3,2
2406,5.041666666666667,8,1,10,12,24,545,7.0,22.70833333333333,50,29,21,9,45,8,6,19.565217391304348,25.13043478260869,19.47173356737981,24.964267772587917,Exam2017_EGe_162_2.txt,1,2
2407,4.266666666666667,7,0,7,8,15,368,6.266666666666668,24.53333333333333,29,14,15,9,13,0,7,20.071428571428573,27.285714285714285,19.97724358974359,27.51692811157097,Exam2016_MTsy_36_2.txt,3,2
2408,3.333333333333333,7,0,5,5,24,373,4.125,15.541666666666664,44,34,10,6,10,2,2,13.08695652173913,17.043478260869566,13.897952730297696,17.991321256971517,Exam2014_DZu_30_2.txt,5,2
2414,5.2,11,2,2,5,10,253,6.0,25.3,28,17,11,5,13,1,2,25.11111111111111,30.88888888888889,22.568342151675488,27.92720458553792,Exam2017_OBy_100_2.txt,1,2
2415,3.941176470588236,10,0,3,9,17,350,6.529411764705883,20.58823529411765,30,18,12,12,18,0,1,14.875,20.1875,17.118859786047285,22.108069534632037,Exam2014_AAl_24_2.txt,3,2
2419,5.0769230769230775,8,2,2,8,13,299,6.153846153846153,23.0,30,17,13,10,12,0,2,20.666666666666668,25.58333333333333,21.03452982202982,26.75603354978355,Exam2014_VPe_25_2.txt,3,2
2422,4.6875,8,2,5,8,16,318,6.3125,19.875,31,20,11,7,18,2,6,16.2,21.8,15.89537962037962,21.41588911088911,Exam2019_ABu_55_2.txt,1,2
2424,4.888888888888889,9,3,2,3,18,407,3.388888888888889,22.61111111111111,51,42,9,18,18,2,3,17.941176470588232,23.882352941176467,20.57030019192649,26.97788283419772,Exam2019_EEr_277_2.txt,3,2
2426,6.230769230769232,14,3,5,7,13,322,5.384615384615384,24.76923076923077,32,16,16,9,23,0,5,20.0,27.75,19.75953282828283,27.215722703222703,Exam2017_ESa_51_2.txt,1,2
2433,4.133333333333334,7,2,7,8,15,289,5.933333333333334,19.266666666666666,25,19,6,3,15,6,1,15.857142857142858,20.928571428571427,17.455886375529232,22.79158183086755,Exam2016_JSl_99_2.txt,2,2
2434,4.0,7,2,0,2,13,255,6.9230769230769225,19.615384615384613,30,24,6,8,9,0,3,16.083333333333332,20.83333333333333,15.326421957671958,20.91923701298701,Exam2014_ZEv_12_2.txt,1,2
2435,4.0,7,0,3,4,14,289,5.285714285714286,20.642857142857142,25,18,7,5,15,1,3,14.692307692307692,20.384615384615387,16.077978218362833,21.50211412519105,Exam2015_KT_11_2.txt,5,2
2436,3.3571428571428568,8,0,6,4,14,302,4.5,21.571428571428577,38,32,6,7,16,1,2,19.0,24.30769230769231,21.459796400181016,26.977129494437182,Exam2017_OBy_43_2.txt,9,2
2437,6.416666666666668,10,4,2,4,12,310,5.666666666666668,25.83333333333333,27,19,8,14,20,1,1,20.363636363636363,26.90909090909091,21.65297783025056,28.819933097205823,Exam2017_EGe_126_2.txt,3,2
2438,4.3478260869565215,9,0,7,8,23,441,4.869565217391305,19.17391304347826,47,37,10,4,17,2,5,15.954545454545457,21.09090909090909,16.046311319555766,21.56435599476516,Exam2017_EGe_223_2.txt,1,2
2441,4.0,7,0,5,12,15,416,9.533333333333331,27.73333333333333,30,17,13,12,27,2,2,23.142857142857142,29.92857142857143,25.3962481962482,32.83625402375402,Exam2017_ESa_52_2.txt,2,2
2442,3.75,8,0,8,8,20,401,8.3,20.05,31,23,8,7,16,1,5,14.68421052631579,20.789473684210527,15.229091920653351,21.902161737109594,Exam2014_MTsy_10_2.txt,2,2
2444,4.642857142857143,9,0,5,8,14,307,6.857142857142858,21.928571428571423,27,16,11,8,21,2,4,17.23076923076923,23.30769230769231,16.701708761324145,22.741811607196222,Exam2017_VSa_42_2.txt,2,2
2446,3.0,6,0,3,3,14,209,5.285714285714286,14.928571428571429,19,16,3,4,17,1,3,13.461538461538463,17.0,14.699928703774855,19.121152138459827,Exam2017_OBy_51_2.txt,3,2
2449,3.25,8,0,1,5,12,191,5.666666666666668,15.916666666666664,20,12,8,6,8,0,3,14.727272727272728,17.90909090909091,13.962642660369935,17.179650400104947,Exam2014_VPe_30_2.txt,1,2
2450,4.5625,9,2,2,6,16,333,5.1875,20.8125,33,26,7,7,22,1,2,16.466666666666665,22.33333333333333,16.93439948939949,22.866140526140533,Exam2017_ESa_1_2.txt,4,2
2451,4.294117647058823,7,1,3,10,17,338,5.235294117647058,19.88235294117647,33,18,15,9,17,1,2,16.75,21.4375,17.188110413891664,22.134840246559,Exam2017_EGe_269_2.txt,1,2
2452,5.0,7,3,1,3,15,361,7.4,24.066666666666663,35,28,7,5,21,3,2,17.857142857142858,23.5,18.0439417725132,24.17039409003695,Exam2017_VSa_73_2.txt,6,2
2457,3.631578947368421,8,0,2,4,19,299,5.526315789473684,15.73684210526316,38,29,9,9,16,1,1,12.555555555555555,16.88888888888889,13.397295787001667,17.748373830236574,Exam2017_DPe_69_2.txt,2,2
2459,4.454545454545454,8,2,1,4,11,236,7.181818181818183,21.454545454545453,23,13,10,3,10,0,2,16.5,22.0,16.556944444444444,22.212063492063493,Exam2017_ESa_58_2.txt,4,2
2460,3.4117647058823533,8,0,3,8,17,303,6.941176470588236,17.823529411764707,32,20,12,3,19,4,1,14.5,19.4375,14.635944264069266,19.29591961857587,Exam2017_EGe_72_2.txt,1,2
2461,4.055555555555555,7,2,7,1,18,274,6.5555555555555545,15.22222222222222,31,27,4,9,20,2,3,13.176470588235292,16.941176470588232,12.355683791410437,15.950131159689985,Exam2017_DPe_74_2.txt,3,2
2462,3.1875,11,0,4,4,16,259,6.25,16.1875,27,22,5,7,22,2,4,14.2,18.33333333333333,13.90409682909683,18.233105783105785,Exam2014_KKo_11_2.txt,7,2
2465,6.7142857142857135,10,3,9,12,14,343,6.0,24.5,33,16,17,10,23,3,5,18.53846153846154,25.461538461538463,20.51297762066993,27.63190506075121,Exam2019_EEr_106_2.txt,2,2
