,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
1148,4.454545454545454,7,2,1,5,11,216,6.909090909090909,19.63636363636364,20,11,9,7,7,2,1,17.9,21.9,16.776468253968254,20.61813492063492,Exam2014_DZu_3_1.txt,7,1
1151,4.083333333333333,6,2,5,4,12,258,6.666666666666668,21.5,21,15,6,5,13,3,0,17.545454545454547,22.72727272727273,19.35334513970877,23.99739603830513,Exam2019_ABu_208_1.txt,1,1
1158,6.285714285714287,9,4,1,1,7,183,8.0,26.142857142857142,13,12,1,3,17,0,1,23.33333333333333,30.0,21.230555555555554,27.266666666666666,Exam2017_NMya_11_1.txt,1,1
1159,5.857142857142858,9,4,11,1,7,227,5.857142857142858,32.42857142857143,18,15,3,4,11,11,0,23.16666666666667,31.16666666666667,28.072222222222223,36.65833333333333,Exam2016_JSl_86_1.txt,1,1
1160,5.166666666666667,8,4,1,1,6,193,4.333333333333333,32.166666666666664,9,8,1,10,12,0,0,23.2,28.8,27.74,34.626666666666665,Exam2019_ABu_190_1.txt,2,1
1161,4.4444444444444455,7,2,0,3,9,172,4.0,19.11111111111111,21,18,3,5,9,1,0,14.25,19.125,14.095238095238097,18.699851190476192,Exam2014_EPa_38_1.txt,6,1
1164,4.333333333333333,5,3,3,1,6,101,5.166666666666667,16.833333333333332,9,9,0,0,5,2,0,12.0,16.4,11.593333333333335,16.236666666666668,Exam2017_OBy_53_1.txt,4,1
1170,3.125,4,2,4,2,16,207,6.0625,12.9375,17,16,1,2,13,4,0,10.466666666666669,13.2,11.413591778591778,14.61081474081474,Exam2017_DPe_74_1.txt,3,1
1171,5.875,10,3,4,5,8,236,8.25,29.5,18,8,10,5,9,4,2,26.714285714285715,33.714285714285715,28.693197278911565,35.07891156462585,Exam2014_ASt_11_1.txt,6,1
1172,3.75,5,2,3,0,8,119,3.0,14.875,11,11,0,3,13,2,0,11.857142857142858,15.571428571428571,11.664285714285716,15.762244897959183,Exam2017_OBy_16_1.txt,1,1
1174,4.777777777777779,7,2,4,5,9,213,5.222222222222221,23.66666666666667,18,14,4,1,15,3,0,19.25,23.5,21.77916666666667,27.19479166666667,Exam2014_VPe_23_1.txt,1,1
1175,4.0,5,2,1,5,10,200,7.0,20.0,17,12,5,2,11,1,1,18.55555555555556,22.33333333333333,18.934082892416228,23.41194885361552,Exam2014_EPa_48_1.txt,4,1
1176,7.5,15,2,7,6,10,296,8.5,29.6,18,12,6,5,21,8,0,30.777777777777786,37.11111111111112,29.44351851851852,36.48328924162257,Exam2017_DOv_9_1.txt,2,1
1177,4.625,7,3,1,1,8,171,4.75,21.375,14,10,4,2,10,0,0,20.285714285714285,24.85714285714285,19.316666666666663,23.760544217687077,Exam2014_KKo_7_1.txt,1,1
1179,5.0,9,3,4,3,9,192,4.111111111111111,21.33333333333333,15,10,5,8,4,4,1,16.5,20.375,19.339880952380952,23.53482142857143,Exam2019_ABu_114_1.txt,1,1
1183,4.125,6,3,3,0,8,149,6.125,18.625,14,13,1,3,9,5,0,15.857142857142858,20.142857142857142,15.760544217687077,20.34523809523809,Exam2017_OBy_190_1.txt,4,1
1184,3.523809523809524,6,2,1,1,21,295,4.761904761904762,14.047619047619047,29,27,2,0,11,0,0,14.0,16.6,13.861488866096066,16.69197843028145,Exam2019_EEr_144_1.txt,3,1
1186,5.666666666666668,7,4,7,2,6,221,15.166666666666664,36.833333333333336,14,9,5,5,7,6,0,25.6,34.4,31.58333333333333,41.41666666666666,Exam2017_OBy_55_1.txt,1,1
1187,3.555555555555556,5,2,0,0,9,158,4.777777777777779,17.555555555555557,9,9,0,4,9,0,0,16.375,20.375,16.639285714285712,20.485416666666666,Exam2017_OBy_148_1.txt,1,1
1188,3.533333333333333,6,1,3,4,15,234,4.866666666666666,15.6,25,17,8,1,18,2,0,13.714285714285715,17.714285714285715,14.703556958914106,19.024219431362287,Exam2017_EGe_158_1.txt,2,1
1190,3.111111111111111,8,0,2,3,18,230,4.611111111111111,12.77777777777778,22,17,5,5,9,2,0,11.941176470588234,15.176470588235292,12.49432790392998,15.42626167565614,Exam2016_OR_10_1.txt,8,1
1191,4.3,7,2,1,2,10,216,2.6,21.6,17,13,4,7,6,1,0,17.666666666666668,22.33333333333333,16.872883597883597,21.743783068783067,Exam2019_EEr_158_1.txt,2,1
1194,4.857142857142857,8,3,2,5,7,185,6.285714285714287,26.42857142857143,13,8,5,6,16,0,2,21.0,27.5,22.75555555555556,28.655555555555555,Exam2014_AEr_5_1.txt,1,1
